กลุ่มข้อมูล,ดาวเทียม/Mode,รายละเอียดภาพ,Polarization,ประเภทราคาที่ 1,ราคาที่ 1,ประเภทราคาที่ 2,ราคาที่ 2,หน่วย,หมายเหตุ
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),Pléiades NEO,30 cm.,,ข้อมูลในคลัง (Standard Archive),880,ข้อมูลสั่งถ่าย (Standard Tasking),1270,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),WorldView-4,30 cm.,,ข้อมูลในคลัง (Standard Archive),920,ข้อมูลสั่งถ่าย (Standard Tasking),1560,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),SuperView-2,42 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),WorldView-1,50 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),WorldView-2,50 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),WorldView-3,50 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),GeoEye-1,50 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),Pléiades,50 cm.,,ข้อมูลในคลัง (Standard Archive),490,ข้อมูลสั่งถ่าย (Standard Tasking),830,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),EarthScanner,50 cm.,,ข้อมูลในคลัง (Standard Archive),400,ข้อมูลสั่งถ่าย (Standard Tasking),800,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),SuperView-1,50 cm.,,ข้อมูลในคลัง (Standard Archive),500,ข้อมูลสั่งถ่าย (Standard Tasking),900,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),KOMPSAT-3,50 cm.,,ข้อมูลในคลัง (Standard Archive),400,ข้อมูลสั่งถ่าย (Standard Tasking),700,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูงมาก (30-50 cm),SKYSAT,50 cm.,,ข้อมูลในคลัง (Standard Archive),300,ข้อมูลสั่งถ่าย (Standard Tasking),560,บาท/ตร.กม.,"ข้อมูลในคลังพื้นที่สั่งขั้นต่ำ 1,250 ตร.กม. / ข้อมูลสั่งถ่ายโปรดติดต่อเจ้าหน้าที่ / เข้าดูผ่าน API/Explorer"
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),QuickBird,60 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลสั่งถ่าย (Standard Tasking),N/A,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),GaoFen-7,65 cm.,,ข้อมูลในคลัง (Standard Archive),400,ข้อมูลสั่งถ่าย (Standard Tasking),700,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),Jilin,75 cm.,,ข้อมูลในคลัง (Standard Archive),300,ข้อมูลสั่งถ่าย (Standard Tasking),600,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),DailyVision,75 cm.,,ข้อมูลในคลัง (Standard Archive),300,ข้อมูลสั่งถ่าย (Standard Tasking),600,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),GaoFen-2,80 cm.,,ข้อมูลในคลัง (Standard Archive),300,ข้อมูลสั่งถ่าย (Standard Tasking),400,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),IKONOS,1 m.,,ข้อมูลในคลัง (Standard Archive),400,ข้อมูลสั่งถ่าย (Standard Tasking),N/A,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),SPOT-6,1.5 m.,,ข้อมูลในคลัง (Standard Archive),190,ข้อมูลสั่งถ่าย (Standard Tasking),230,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),SPOT-7,1.5 m.,,ข้อมูลในคลัง (Standard Archive),190,ข้อมูลสั่งถ่าย (Standard Tasking),230,บาท/ตร.กม.,
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),ไทยโชต (Thaichote),2 m.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลสั่งถ่าย (Standard Tasking),6500,บาท/ตร.กม.,ราคาที่รับ Orthorectification แล้ว ราคา 910 บาท/ภาพ
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),Video Constellation,1 m.,,ข้อมูลในคลัง (Standard Archive),142500,ข้อมูลสั่งถ่าย (Standard Tasking),285000,บาท/30 วินาที,ถ่ายภาพเคลื่อนไหวรูปแบบวิดีโอและภาพกลางคืน วิดีโอแต่ละช่วงจำกัดความยาว 30 วินาที
ดาวเทียมรายละเอียดสูง (60 cm - 2 m),Night Imaging,1 m.,,ข้อมูลในคลัง (Standard Archive),800,ข้อมูลสั่งถ่าย (Standard Tasking),1400,บาท/ตร.กม.,พื้นที่สั่งซื้อขั้นต่ำ (ในคลังและสั่งถ่ายใหม่) 100 ตร.กม. / ความกว้างแนวถ่ายภาพอย่างน้อย 5 กม.
ดาวเทียมรายละเอียดปานกลาง (> 2 m),LANDSAT-5,30 m.,,ข้อมูลในคลัง (Standard Archive),150,ข้อมูลสั่งถ่าย (Standard Tasking),N/A,บาท/ภาพ,คิดเฉพาะค่าดำเนินการผลิตข้อมูลจากคลังข้อมูล / Level 1T มีทั้งหมด 7 Bands
ดาวเทียมรายละเอียดปานกลาง (> 2 m),LANDSAT-7,30 m.,,ข้อมูลในคลัง (Standard Archive),150,ข้อมูลสั่งถ่าย (Standard Tasking),N/A,บาท/ภาพ,คิดเฉพาะค่าดำเนินการผลิตข้อมูลจากคลังข้อมูล / Level 1T มีทั้งหมด 8 Bands
